q1,q2,q3,q4,f1,f2,f3,f4,f5,target
0.32,0.16,0.82,0.45,350,356,421,397,987,zero
0.32,0.15,0.83,0.43,344,357,425,392,988,zero
0.32,0.14,0.84,0.41,363,354,414,396,980,zero
0.31,0.14,0.85,0.4,354,352,417,387,969,zero
0.31,0.15,0.85,0.4,351,352,414,384,977,zero
0.3,0.16,0.85,0.4,377,354,422,384,980,zero
0.3,0.17,0.85,0.41,394,356,420,383,974,zero
0.3,0.17,0.84,0.41,377,356,417,387,967,zero
0.3,0.18,0.84,0.41,364,357,425,383,964,zero
0.3,0.18,0.85,0.41,366,353,445,383,951,zero
0.29,0.18,0.85,0.4,359,355,430,385,962,zero
0.28,0.17,0.86,0.39,360,361,417,380,951,zero
0.27,0.16,0.87,0.39,364,362,418,374,951,zero
0.27,0.16,0.87,0.38,356,353,421,379,951,zero
0.26,0.16,0.87,0.38,359,352,441,375,946,zero
0.26,0.15,0.88,0.38,361,350,414,379,922,zero
0.26,0.14,0.88,0.37,368,350,415,385,920,zero
0.26,0.13,0.88,0.37,367,349,418,383,917,zero
0.26,0.13,0.89,0.36,356,347,411,383,922,zero
0.26,0.12,0.89,0.36,378,354,414,389,922,zero
0.26,0.11,0.89,0.36,395,352,414,388,922,zero
0.26,0.11,0.89,0.36,364,353,411,387,922,zero
0.26,0.1,0.89,0.36,366,346,404,385,917,zero
0.26,0.1,0.89,0.36,361,349,404,382,920,zero
0.25,0.09,0.9,0.35,357,350,397,380,916,zero
0.25,0.09,0.9,0.35,358,348,402,385,914,zero
0.25,0.09,0.9,0.34,353,343,412,391,935,zero
0.25,0.09,0.9,0.34,361,348,397,389,937,zero
0.25,0.09,0.9,0.34,342,349,394,387,927,zero
0.25,0.09,0.9,0.34,354,343,391,385,932,zero
0.26,0.09,0.9,0.34,350,345,392,378,937,zero
0.26,0.09,0.9,0.34,345,342,392,380,938,zero
0.26,0.09,0.9,0.34,348,343,401,380,935,zero
0.27,0.1,0.9,0.34,347,343,394,376,930,zero
0.28,0.11,0.89,0.34,348,342,395,378,950,zero
0.29,0.13,0.89,0.34,357,340,394,376,945,zero
0.31,0.15,0.88,0.34,375,342,401,373,945,zero
0.32,0.17,0.87,0.34,369,338,394,378,912,zero
0.33,0.19,0.86,0.34,368,342,401,385,914,zero
0.34,0.2,0.85,0.35,378,346,400,387,930,zero
0.36,0.22,0.84,0.35,372,345,397,384,927,zero
0.38,0.24,0.82,0.35,381,345,390,384,924,zero
0.39,0.26,0.81,0.35,393,342,390,385,906,zero
0.39,0.27,0.81,0.35,373,345,400,380,920,zero
0.4,0.27,0.8,0.35,364,347,408,380,916,zero
0.41,0.28,0.79,0.35,363,345,397,379,903,zero
0.43,0.3,0.78,0.35,354,347,394,384,904,zero
0.45,0.32,0.76,0.35,368,350,388,397,917,zero
0.47,0.34,0.74,0.35,346,354,391,398,898,zero
0.49,0.37,0.71,0.34,361,354,385,402,887,zero
0.52,0.39,0.68,0.33,348,352,381,400,882,zero
0.54,0.43,0.65,0.32,350,357,385,406,887,zero
0.57,0.47,0.61,0.3,366,364,388,414,901,zero
0.6,0.5,0.56,0.28,388,380,384,426,903,zero
0.63,0.55,0.5,0.24,380,388,392,435,890,zero
0.65,0.58,0.45,0.2,381,387,388,429,885,zero
0.66,0.62,0.4,0.15,371,382,387,415,891,zero
0.67,0.65,0.35,0.09,361,381,381,412,901,zero
0.68,0.67,0.28,0.03,358,394,388,416,891,zero
0.69,0.69,0.22,-0.03,356,394,390,419,904,zero
0.69,0.7,0.15,-0.09,360,405,390,425,904,zero
0.68,0.71,0.07,-0.17,416,422,402,443,924,zero
0.67,0.7,0,-0.24,417,418,402,442,927,zero
0.66,0.68,-0.08,-0.31,432,428,410,447,920,zero
0.65,0.66,-0.14,-0.36,450,432,408,460,916,zero
0.63,0.64,-0.19,-0.4,494,446,405,462,920,zero
0.61,0.62,-0.24,-0.43,483,445,404,466,908,zero
0.58,0.61,-0.27,-0.46,479,443,397,464,908,zero
0.55,0.6,-0.33,-0.49,455,442,397,465,875,zero
0.51,0.58,-0.37,-0.51,435,430,392,465,882,zero
0.49,0.56,-0.4,-0.54,502,429,387,456,882,zero
0.46,0.54,-0.43,-0.56,490,432,388,453,875,zero
0.44,0.52,-0.46,-0.57,494,437,387,471,887,zero
0.43,0.52,-0.48,-0.57,498,437,380,478,909,zero
0.41,0.51,-0.5,-0.57,515,438,382,484,911,zero
0.38,0.49,-0.53,-0.58,543,470,387,493,912,zero
0.36,0.47,-0.55,-0.59,544,465,388,494,890,zero
0.34,0.45,-0.56,-0.61,531,472,394,505,900,zero
0.32,0.43,-0.57,-0.62,540,492,392,511,904,zero
0.31,0.41,-0.59,-0.62,551,506,400,529,937,zero
0.3,0.39,-0.6,-0.63,559,513,411,535,903,zero
0.29,0.38,-0.61,-0.63,600,527,411,542,914,zero
0.28,0.37,-0.61,-0.64,559,519,412,538,919,zero
0.28,0.36,-0.61,-0.64,555,507,404,535,896,zero
0.27,0.35,-0.62,-0.65,563,508,400,538,895,zero
0.26,0.34,-0.62,-0.66,530,504,401,544,893,zero
0.25,0.33,-0.63,-0.66,538,505,400,561,930,zero
0.24,0.31,-0.63,-0.67,538,506,405,571,917,zero
0.24,0.3,-0.64,-0.67,536,507,418,593,920,zero
0.23,0.3,-0.65,-0.66,584,509,424,592,924,zero
0.23,0.29,-0.66,-0.65,573,509,415,598,935,zero
0.23,0.29,-0.67,-0.64,651,511,417,619,920,zero
0.23,0.27,-0.68,-0.64,601,518,410,639,914,zero
0.23,0.26,-0.69,-0.64,651,515,422,648,900,zero
0.23,0.25,-0.69,-0.64,666,509,424,660,950,zero
0.22,0.22,-0.7,-0.64,667,508,421,674,920,zero
0.22,0.2,-0.7,-0.65,600,499,434,675,951,zero
0.22,0.16,-0.71,-0.65,596,509,437,673,932,zero
0.22,0.12,-0.72,-0.65,569,507,442,685,950,zero
0.22,0.09,-0.72,-0.65,508,504,432,684,950,zero
0.17,0.02,-0.74,-0.65,489,519,431,685,956,zero
